
"{'val_loss': 0.11614147880183479, 'val_acc': 0.9666586902767808, 'loss': 0.03628832311338488, 'acc': 0.9886288, 'val_aupr': 0.9900538314030158, 'val_auc': 0.9927519396802504, 'val_f1': 0.9672336756290665, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 5, 'epoch_count': 10}"
"{'val_loss': 0.11882232926988598, 'val_acc': 0.9657015234904682, 'loss': 0.030510444949127812, 'acc': 0.99085224, 'val_aupr': 0.9903926223609273, 'val_auc': 0.9927189645815181, 'val_f1': 0.9662082514734774, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 5, 'epoch_count': 11}"
"{'val_loss': 0.12207129938784822, 'val_acc': 0.9657015234904682, 'loss': 0.027489571227827428, 'acc': 0.992283, 'val_aupr': 0.9900745875060999, 'val_auc': 0.9925239167929806, 'val_f1': 0.9662082514734774, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 5, 'epoch_count': 12}"
"{'val_loss': 0.12060504487097677, 'val_acc': 0.9667783361250698, 'loss': 0.025365248656174236, 'acc': 0.99308556, 'val_aupr': 0.9902496180935715, 'val_auc': 0.9926195620769452, 'val_f1': 0.9672678690714763, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 5, 'epoch_count': 13}"
"{'val_loss': 0.12404370855974164, 'val_acc': 0.9654622317938901, 'loss': 0.022126119288618736, 'acc': 0.994277, 'val_aupr': 0.989900059453511, 'val_auc': 0.9923729153374823, 'val_f1': 0.9659965446835244, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 5, 'epoch_count': 14}"
"{'val_loss': 0.12244589405833053, 'val_acc': 0.9669378639227886, 'loss': 0.019916827682972225, 'acc': 0.9952292, 'val_aupr': 0.9900154262761566, 'val_auc': 0.9925162528264733, 'val_f1': 0.9674812693680618, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 5, 'epoch_count': 15}"
"{'val_loss': 0.245947875254492, 'val_acc': 0.9055895480476486, 'loss': 0.4382114260666405, 'acc': 0.79133904, 'val_aupr': 0.9557309037148447, 'val_auc': 0.9648658558010974, 'val_f1': 0.9063837270648925, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 1}"
"{'val_loss': 0.165755687605612, 'val_acc': 0.9417693831101652, 'loss': 0.18658537629032643, 'acc': 0.93118906, 'val_aupr': 0.978047154921128, 'val_auc': 0.9842576826479214, 'val_f1': 0.9421030976312232, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 2}"
"{'val_loss': 0.14017937505844408, 'val_acc': 0.9550707930596198, 'loss': 0.12903347888572167, 'acc': 0.95553875, 'val_aupr': 0.9827115115026646, 'val_auc': 0.9884309679793655, 'val_f1': 0.9551966043742262, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 3}"
"{'val_loss': 0.1313496276966179, 'val_acc': 0.9588838639117969, 'loss': 0.09906653184052794, 'acc': 0.9670448, 'val_aupr': 0.985932345791692, 'val_auc': 0.9903142196467531, 'val_f1': 0.9588449362407172, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 4}"
"{'val_loss': 0.12430406265291771, 'val_acc': 0.9619579675445598, 'loss': 0.08100366384989054, 'acc': 0.97337055, 'val_aupr': 0.9887165632288768, 'val_auc': 0.9918008809299929, 'val_f1': 0.9618655367566447, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 5}"
"{'val_loss': 0.12347701486701226, 'val_acc': 0.9633472259170583, 'loss': 0.06881899019643255, 'acc': 0.977616, 'val_aupr': 0.9880107813009297, 'val_auc': 0.9917723542011191, 'val_f1': 0.9632831931777804, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 6}"
"{'val_loss': 0.11905754798916074, 'val_acc': 0.966362212172268, 'loss': 0.05743726120081802, 'acc': 0.9813405, 'val_aupr': 0.9886771487971949, 'val_auc': 0.9923190838839194, 'val_f1': 0.9662994551054253, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 7}"
"{'val_loss': 0.12265860379431096, 'val_acc': 0.9645591321568975, 'loss': 0.05260791246298323, 'acc': 0.9829774, 'val_aupr': 0.9890662337358844, 'val_auc': 0.9922578380944778, 'val_f1': 0.9643547284240569, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 8}"
"{'val_loss': 0.12349124821824879, 'val_acc': 0.9649433951109929, 'loss': 0.04651931035441123, 'acc': 0.98505026, 'val_aupr': 0.9890264902166667, 'val_auc': 0.9922276249962481, 'val_f1': 0.9648987806321772, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 9}"
"{'val_loss': 0.12363630426054761, 'val_acc': 0.9660666252845024, 'loss': 0.042651720671409904, 'acc': 0.9864691, 'val_aupr': 0.9894010483726645, 'val_auc': 0.9923763924814867, 'val_f1': 0.9660435399905347, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 10}"
"{'val_loss': 0.12508846637623447, 'val_acc': 0.9654458928201946, 'loss': 0.03858377836521317, 'acc': 0.98799515, 'val_aupr': 0.9893295879187594, 'val_auc': 0.9923974956901294, 'val_f1': 0.9654499778336042, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 11}"
"{'val_loss': 0.12378401551856484, 'val_acc': 0.9655050101977476, 'loss': 0.03407491927219325, 'acc': 0.9896357, 'val_aupr': 0.9896516922701144, 'val_auc': 0.9925611975924811, 'val_f1': 0.9654641768518244, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 12}"
"{'val_loss': 0.12869659437066555, 'val_acc': 0.9650911885548757, 'loss': 0.030858846711440267, 'acc': 0.9905446, 'val_aupr': 0.9887258718968102, 'val_auc': 0.9920790392544426, 'val_f1': 0.9651076904895559, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 13}"
"{'val_loss': 0.12964696284303262, 'val_acc': 0.964322662646685, 'loss': 0.02905444711036022, 'acc': 0.9915053, 'val_aupr': 0.9889294233430674, 'val_auc': 0.9920524592773432, 'val_f1': 0.9643100032526095, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 14}"
"{'val_loss': 0.13157326687561313, 'val_acc': 0.9646182495344506, 'loss': 0.02740195297231133, 'acc': 0.992067, 'val_aupr': 0.9886676318768589, 'val_auc': 0.9920193033335227, 'val_f1': 0.9646287048255076, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 15}"
"{'val_loss': 0.13045586639172482, 'val_acc': 0.9642931039579085, 'loss': 0.026857082536507385, 'acc': 0.99227756, 'val_aupr': 0.989026941618518, 'val_auc': 0.9921381250930824, 'val_f1': 0.9642793778461175, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 16}"
"{'val_loss': 0.13378422542565652, 'val_acc': 0.9644113387130147, 'loss': 0.026093866042913926, 'acc': 0.9925029, 'val_aupr': 0.988967783919517, 'val_auc': 0.9918951341229489, 'val_f1': 0.9643934465014491, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 17}"
